strategy,symbol,direction,open_time,close_time,entry,sl,tp1,tp2,lot_size,pnl_pips,pnl_usd,outcome,duration_h,notes
S03_AsianRange,XAUUSD,SHORT,2026-03-06 02:00:00+00:00,2026-03-06 08:25:00+00:00,5142.10009765625,5159.472145177294,5112.64990234375,5089.4599609375,0.06,2708.2520108671224,162.28512065202733,trail,6.416666666666667,Asian Scalp Short | Range 5074.00000–5151.29980 | RSI=70.8 H1RSI=48.0
S03_AsianRange,XAUUSD,SHORT,2026-03-06 03:30:00+00:00,2026-03-06 08:25:00+00:00,5144.60009765625,5157.271308963249,5112.64990234375,5089.4599609375,0.08,3118.20199849622,249.17615987969756,trail,4.916666666666667,Asian Scalp Short | Range 5074.00000–5151.29980 | RSI=66.1 H1RSI=48.0
S03_AsianRange,XAUUSD,SHORT,2026-03-13 02:10:00+00:00,2026-03-13 03:35:00+00:00,5128.5,5137.001388138305,5110.5,5097.36005859375,0.12,1602.6610361253415,191.89932433504097,trail,1.4166666666666667,Asian Scalp Short | Range 5088.60010–5132.39990 | RSI=66.9 H1RSI=35.5
S03_AsianRange,XAUUSD,SHORT,2026-03-13 07:20:00+00:00,2026-03-13 07:35:00+00:00,5087.964522818163,5096.226995713303,5044.80029296875,5001.00048828125,0.13,-1402.8800400803448,-182.82940521044483,sl,0.25,London BO Short | Range 5088.60010–5132.39990 | Vol=1059 | Body=79%
S03_AsianRange,XAUUSD,SHORT,2026-03-17 04:50:00+00:00,2026-03-17 06:00:00+00:00,5043.39990234375,5052.705557139498,5024.050048828125,5008.84013671875,0.11,2435.251099682855,267.49262096511404,trail,1.1666666666666667,Asian Scalp Short | Range 4998.70020–5049.39990 | RSI=69.3 H1RSI=46.9
S03_AsianRange,XAUUSD,SHORT,2026-03-17 04:55:00+00:00,2026-03-17 06:00:00+00:00,5042.2001953125,5052.726581796944,5024.050048828125,5008.84013671875,0.1,2359.705454030275,235.6205454030275,trail,1.0833333333333333,Asian Scalp Short | Range 4998.70020–5049.39990 | RSI=66.3 H1RSI=46.9
S03_AsianRange,XAUUSD,SHORT,2026-03-17 05:00:00+00:00,2026-03-17 06:00:00+00:00,5042.39990234375,5052.66039040743,5024.050048828125,5008.84013671875,0.11,2358.4638779332463,259.04602657265707,trail,1.0,Asian Scalp Short | Range 4998.70020–5049.39990 | RSI=66.6 H1RSI=46.9
S03_AsianRange,XAUUSD,LONG,2026-03-18 04:45:00+00:00,2026-03-18 05:35:00+00:00,4987.5,4981.928046327618,5003.449951171875,5014.57998046875,0.2,1451.0487605878516,289.5097521175703,trail,0.8333333333333334,Asian Scalp Long | Range 4984.89990–5022.00000 | RSI=30.3 H1RSI=52.8
S03_AsianRange,XAUUSD,LONG,2026-03-18 04:50:00+00:00,2026-03-18 05:35:00+00:00,4988.2998046875,4982.003184480556,5003.449951171875,5014.57998046875,0.19,1399.9805699599183,265.33130829238445,trail,0.75,Asian Scalp Long | Range 4984.89990–5022.00000 | RSI=32.8 H1RSI=52.8
S03_AsianRange,XAUUSD,SHORT,2026-03-20 03:25:00+00:00,2026-03-20 05:55:00+00:00,4732.2001953125,4746.756057350388,4689.35009765625,4660.0400390625,0.08,3890.0181239507733,310.9214499160619,trail,2.5,Asian Scalp Short | Range 4640.50000–4738.20020 | RSI=77.4 H1RSI=43.0
