strategy,symbol,direction,open_time,close_time,entry,sl,tp1,tp2,lot_size,pnl_pips,pnl_usd,outcome,duration_h,notes
S03_AsianRange,BTCUSD,LONG,2025-02-28 06:00:00+00:00,2025-02-28 15:00:00+00:00,79616.3828125,78155.66561654517,81932.10546875,83640.978125,0.08,5915.04296875,228.50746874999982,tp2,9.0,Asian Scalp Long | Range 79083.98438–84780.22656 | RSI=22.5
S03_AsianRange,BTCUSD,LONG,2025-02-28 07:00:00+00:00,2025-02-28 15:00:00+00:00,79398.234375,78154.8450814348,81932.10546875,83640.978125,0.09,6996.76171875,293.5789101562498,tp2,8.0,Asian Scalp Long | Range 79083.98438–84780.22656 | RSI=21.9
S03_AsianRange,BTCUSD,SHORT,2025-03-24 07:00:00+00:00,2025-03-24 10:00:00+00:00,87119.65625,87514.80622063213,86391.89453125,85881.475,0.3,-387.46715813213086,-117.29014743963926,sl,3.0,Asian Scalp Short | Range 85541.19531–87242.59375 | RSI=78.9
S03_AsianRange,BTCUSD,LONG,2025-03-28 07:00:00+00:00,2025-03-28 08:00:00+00:00,85748.46875,85368.89133731459,86596.91015625,87128.5453125,0.31,-334.3633501854056,-104.73763855747572,sl,1.0,Asian Scalp Long | Range 85710.85156–87482.96875 | RSI=30.4
S03_AsianRange,BTCUSD,LONG,2025-04-07 07:00:00+00:00,2025-04-07 14:00:00+00:00,74830.296875,73780.91364314042,76879.328125,78300.221875,0.11,5724.696875000009,294.4668632812505,tp2,7.0,Asian Scalp Long | Range 74511.17188–79247.48438 | RSI=17.6
S03_AsianRange,BTCUSD,SHORT,2025-04-21 06:00:00+00:00,2025-04-21 14:00:00+00:00,87541.4921875,87981.91280806925,86408.20703125,85651.853125,0.27,-434.71437056924333,-118.3178800536957,sl,8.0,Asian Scalp Short | Range 85147.61719–87668.79688 | RSI=79.0
S03_AsianRange,BTCUSD,SHORT,2025-04-21 07:00:00+00:00,2025-04-21 14:00:00+00:00,87496.5859375,87973.45586642144,86408.20703125,85651.853125,0.25,-472.163678921439,-118.91591973035975,sl,7.0,Asian Scalp Short | Range 85147.61719–87668.79688 | RSI=77.9
S03_AsianRange,BTCUSD,LONG,2025-05-15 07:00:00+00:00,2025-05-15 09:00:00+00:00,102233.9375,101870.48349082755,103035.43359375,103537.6265625,0.32,-417.5993216724455,-134.75178293518258,sl,2.0,Asian Scalp Long | Range 102198.44531–103872.42188 | RSI=31.7
S03_AsianRange,BTCUSD,SHORT,2025-07-14 06:00:00+00:00,2025-07-14 07:00:00+00:00,122454.9453125,122960.99955760306,120726.0,119667.4640625,0.23,-479.7542451030604,-111.1484763737039,sl,1.0,Asian Scalp Short | Range 118961.77344–122490.22656 | RSI=88.5
S03_AsianRange,BTCUSD,SHORT,2025-07-14 07:00:00+00:00,2025-07-14 15:00:00+00:00,122091.015625,122950.49568295285,120726.0,119667.4640625,0.13,2418.1796875,156.95417968750002,tp2,8.0,Asian Scalp Short | Range 118961.77344–122490.22656 | RSI=81.6
S03_AsianRange,BTCUSD,SHORT,2025-07-21 07:00:00+00:00,2025-07-21 14:00:00+00:00,119205.515625,119616.86615749147,117914.08203125,117119.1265625,0.29,0.0,-0.5075,be,7.0,Asian Scalp Short | Range 116589.15625–119239.00781 | RSI=66.9
